lr_id	ligand	receptor
450	JAM3	F11R
451	KITLG	KIT
452	JAM3	ITGAM_ITGB2
453	NAMPT	INSR
454	COL4A3	SDC4
455	COL4A3	ITGA11_ITGB1
456	WNT4	FZD4_LRP5
457	COL4A3	ITGA9_ITGB1
458	COL4A3	ITGA3_ITGB1
459	COL4A3	ITGA2_ITGB1
460	ANGPTL4	ITGAV_ITGB3
461	LAMC3	CD44
462	LAMC3	ITGA1_ITGB1
463	LAMC3	ITGA9_ITGB1
464	NECTIN3	NECTIN2
465	NRG2	ERBB3
466	NRG2	ERBB2_ERBB3
467	LAMA3	ITGA6_ITGB4
468	COL4A5	ITGA11_ITGB1
469	IGF1	ITGA6_ITGB4
470	JAM2	JAM2
471	DLK1	NOTCH2
472	DLK1	NOTCH3
473	COL4A5	ITGA9_ITGB1
474	EDN3	EDNRB
475	TNF	TNFRSF1A
476	TNF	TNFRSF1B
477	AREG	EGFR
478	AREG	EGFR_ERBB2
479	CD226	PVR
480	COL4A4	ITGA11_ITGB1
481	CX3CL1	CX3CR1
482	CXCL13	CXCR5
483	CCL13	ACKR1
484	NCAM1	FGFR1
485	EFNB2	EPHB3
486	CD96	NECTIN1
487	SELE	GLG1
488	LAMB3	ITGA3_ITGB1
489	COL4A4	ITGA3_ITGB1
490	NECTIN1	CD96
491	DSC2	DSG2
492	EFNA1	EPHA1
493	TGFB3	ACVR1C_TGFbR2
494	TNFSF13B	TNFRSF13B
495	TNFSF13B	TNFRSF13C
496	XCL1	XCR1
497	COL4A4	ITGA9_ITGB1
498	EFNB2	EPHB2
499	LAMB3	ITGA6_ITGB4
500	COL6A6	ITGA11_ITGB1
501	COL9A2	ITGA11_ITGB1
502	TNFSF13B	TNFRSF17
503	COL9A2	ITGA3_ITGB1
504	COL6A6	ITGA2_ITGB1
505	SEMA4A	PLXNB2
506	SEMA4A	NRP1_PLXNA4
507	JAM2	ITGA3_ITGB1
508	PVR	CD226
509	ICAM5	CD209
510	CCL7	ACKR1
511	COL4A5	ITGA2_ITGB1
512	LAMA1	CD44
513	ENTPD1	ADORA2A
514	LAMA1	ITGA9_ITGB1
515	LAMA1	ITGA1_ITGB1
516	LAMA1	ITGA7_ITGB1
