"","Connecting Tubule","Distal Convoluted Tubule","Endothelial Cell","Intercalated Cells Type A","Intercalated Cells Type B","Leukocyte","Mesangial Cells","Principal Cells","Proximal Tubule","Thick Ascending Limb"
"62",0.232102241564878,0.0475316256209018,0.000193684826218687,0.177732566091367,0.346043002052243,0.000193684826218696,0.000193684826218694,0.000193684826218698,0.195622140540136,0.000193684825598738
"63",0.543405425899834,0.343944916443057,0.0424214365542948,0.000188485087055137,0.00400161047231503,0.000188485085191604,0.000188485085191607,0.000188485085191605,0.0001884850851916,0.0652841852026775
"64",0.000133704117308099,0.473701715367706,0.000133704117308063,0.000133704117308057,0.000133704117308055,0.000133704117308055,0.000133704117307959,0.000133704117308055,0.525228651694257,0.000133704116880095
"65",0.0700896786168942,0.929377136252042,6.66481414943673e-05,6.66481414943268e-05,6.66481414943332e-05,6.66481414943538e-05,6.66481414943325e-05,6.66481414943287e-05,6.66481414943335e-05,6.66481406038067e-05
"66",0.000100813890938322,0.753789676109677,8.94623125135356e-05,8.94623125135461e-05,8.94623125135345e-05,8.94623125135318e-05,8.94623125135329e-05,8.94623125135349e-05,0.245483273811587,8.94623127166401e-05
"67",0.0418081543475273,0.589010555808509,0.00013181856690589,0.000131818566906949,0.000131818566905963,0.000131818566905952,0.000131818566905984,0.000131818566905982,0.368258559875634,0.000131818566893353
"68",8.49257797021939e-05,0.431160935980201,8.49257797022224e-05,8.49257797021792e-05,8.4925779702172e-05,8.49257797022193e-05,8.49257797021482e-05,8.49257797021483e-05,0.568159657786635,8.49257752485489e-05
"69",8.91300082753067e-05,0.908572283654301,8.73363342565432e-05,8.73363342574896e-05,8.73363342565398e-05,8.73363342565472e-05,0.0031410293231889,0.061998006283112,0.000318029412780905,0.0255321759813146
"70",6.40282861297924e-05,0.988131191768148,6.40282860263168e-05,6.40282861309247e-05,6.40282861298021e-05,6.40282861297794e-05,6.40282861298042e-05,6.40282861298117e-05,0.0113565819335964,6.40282954494862e-05
"71",0.0104141173677829,0.794709683719674,0.0464948344492794,5.75788421560362e-05,5.75788386267542e-05,5.75788386267509e-05,5.75788386267479e-05,5.75788386267503e-05,0.148035891424254,5.75788423464394e-05
"72",0.191983070870243,0.0903394086687226,0.568742252698,0.000117467034281744,0.000117467034281739,0.000117467034281724,0.000138478164555265,0.00011746703428172,0.14820945442707,0.000117467034282472
