ligand_receptor,lr_id
ICAM1_ITGAL_ITGB2,810
ICAM1_ITGAM_ITGB2,811
ICAM1_ITGAX_ITGB2,812
ICAM1_SPN,813
ICAM2_ITGAL_ITGB2,814
ICAM2_ITGAM_ITGB2,815
ICAM5_CD209,816
ICOSLG_CD28,817
ICOSLG_CTLA4,818
ICOSLG_ICOS,819
IFNA10_IFNAR1_IFNAR2,820
IFNA13_IFNAR1_IFNAR2,821
IFNA14_IFNAR1_IFNAR2,822
IFNA16_IFNAR1_IFNAR2,823
IFNA17_IFNAR1_IFNAR2,824
IFNA1_IFNAR1_IFNAR2,825
IFNA21_IFNAR1_IFNAR2,826
IFNA2_IFNAR1_IFNAR2,827
IFNA4_IFNAR1_IFNAR2,828
IFNA5_IFNAR1_IFNAR2,829
IFNA6_IFNAR1_IFNAR2,830
IFNA7_IFNAR1_IFNAR2,831
IFNA8_IFNAR1_IFNAR2,832
IFNB1_IFNAR1_IFNAR2,833
IFNE_IFNAR1_IFNAR2,834
IFNG_IFNGR1_IFNGR2,835
IFNK_IFNAR1_IFNAR2,836
IFNW1_IFNAR1_IFNAR2,837
IGF1_IGF1R,838
IGF1_ITGA6_ITGB4,839
IGF1_ITGAV_ITGB3,840
IGF2_IGF1R,841
IGF2_IGF2R,842
IGF2_ITGA6_ITGB4,843
IGF2_ITGAV_ITGB3,844
IGFL3_IGFLR1,845
IHH_PTCH1_SMO,846
IHH_PTCH2_SMO,847
IL10_IL10RA_IL10RB,848
IL11_IL11R COMPLEX,849
IL12AB_IL12RB1_IL12RB2,850
IL13_IL13RA1,851
IL13_IL13RA2,852
IL13_IL4R_IL13RA1,853
IL13_IL4R_IL13RA2,854
IL15_IL15RA_IL2RB,855
IL16_CD4,856
IL17AF_IL17RA_IL17RC,857
IL17A_IL17RA_IL17RC,858
IL17B_IL17RB,859
IL17C_IL17RA_IL17RE,860
IL17F_IL17RA_IL17RC,861
IL18_IL18R1_IL18RAP,862
IL19_IL20RA_IL20RB,863
IL1A_IL1R1_IL1RAP,864
IL1A_IL1R2,865
IL1B_IL1R1_IL1RAP,866
IL1B_IL1R2,867
IL1F10_IL1RL2_IL1RAP,868
IL20_IL20RA_IL20RB,869
IL20_IL22RA1_IL20RB,870
IL21_IL21R_IL2RG,871
IL22_IL22RA1_IL10RB,872
IL23 COMPLEX_IL23R_IL12RB1,873
IL24_IL20RA_IL20RB,874
IL24_IL22RA1_IL20RB,875
IL25_IL17RA_IL17RB,876
IL26_IL20RA_IL10RB,877
IL27 COMPLEX_IL27RA_IL6ST,878
IL2_IL2RA_IL2RB_IL2RG,879
IL2_IL2RB_IL2RG,880
IL31_IL31RA_OSMR,881
IL33_IL1RL1_IL1RAP,882
IL34_CSF1R,883
IL36A_IL1RL2_IL1RAP,884
IL36B_IL1RL2_IL1RAP,885
IL36G_IL1RL2_IL1RAP,886
