ligand_receptor,lr_id
WNT9A_FZD4_LRP6,1905
WNT9A_FZD5_LRP6,1907
WNT9A_FZD6_LRP6,1909
WNT9A_FZD7_LRP6,1911
WNT9A_FZD8_LRP6,1913
WNT9A_FZD9_LRP6,1915
WNT9B_FZD1_LRP6,1919
WNT9B_FZD10_LRP6,1917
WNT9B_FZD2_LRP6,1921
WNT9B_FZD3_LRP6,1923
WNT9B_FZD4_LRP6,1925
WNT9B_FZD5_LRP6,1927
WNT9B_FZD6_LRP6,1929
WNT9B_FZD7_LRP6,1931
WNT9B_FZD8_LRP6,1933
WNT9B_FZD9_LRP6,1935
WNT5A_FZD1,1775
WNT5A_FZD10,1776
WNT5A_FZD2,1777
WNT5A_FZD3,1778
WNT5A_FZD4,1779
WNT5A_FZD5,1780
WNT5A_FZD6,1781
WNT5A_FZD7,1782
WNT5A_FZD8,1783
WNT5A_FZD9,1784
WNT5A_MCAM,1785
WNT5B_FZD1,1786
WNT5B_FZD10,1787
WNT5B_FZD2,1788
WNT5B_FZD3,1789
WNT5B_FZD4,1790
WNT5B_FZD5,1791
WNT5B_FZD6,1792
WNT5B_FZD7,1793
WNT5B_FZD8,1794
WNT5B_FZD9,1795
WNT11_FZD1,1625
WNT11_FZD10,1626
WNT11_FZD2,1627
WNT11_FZD3,1628
WNT11_FZD4,1629
WNT11_FZD5,1630
WNT11_FZD6,1631
WNT11_FZD7,1632
WNT11_FZD8,1633
WNT11_FZD9,1634
EGF_EGFR,576
EGF_EGFR_ERBB2,577
TGFA_EGFR,1459
TGFA_EGFR_ERBB2,1460
AREG_EGFR,40
AREG_EGFR_ERBB2,41
BTC_EGFR,109
BTC_EGFR_ERBB2,110
BTC_ERBB4,112
BTC_ERBB2_ERBB4,111
HBEGF_EGFR,745
HBEGF_EGFR_ERBB2,746
HBEGF_ERBB4,748
HBEGF_ERBB2_ERBB4,747
EREG_EGFR,585
EREG_EGFR_ERBB2,586
EREG_ERBB4,588
EREG_ERBB2_ERBB4,587
NRG1_ERBB3,1184
NRG1_ERBB2_ERBB3,1182
NRG1_ERBB4,1185
NRG1_ERBB2_ERBB4,1183
NRG2_ERBB3,1189
NRG2_ERBB2_ERBB3,1187
NRG2_ERBB4,1190
NRG2_ERBB2_ERBB4,1188
NRG3_ERBB4,1192
NRG3_ERBB2_ERBB4,1191
NRG4_ERBB4,1194
NRG4_ERBB2_ERBB4,1193
NRG1_ITGAV_ITGB3,1186
FGF1_FGFR1,622
FGF1_FGFR2,623
FGF1_FGFR3,624
FGF1_FGFR4,625
FGF2_FGFR1,636
FGF2_FGFR2,637
FGF2_FGFR3,638
FGF2_FGFR4,639
FGF4_FGFR1,642
FGF4_FGFR2,643
FGF4_FGFR3,644
FGF4_FGFR4,645
FGF5_FGFR1,646
FGF5_FGFR2,647
FGF5_FGFR3,648
FGF5_FGFR4,649
FGF6_FGFR1,650
FGF6_FGFR2,651
FGF6_FGFR3,652
FGF6_FGFR4,653
FGF7_FGFR1,654
