,Proximal Tubule,Principal Cells,Thick Ascending Limb,Intercalated Cells Type A,Endothelial Cell,Distal Convoluted Tubule,Connecting Tubule,Mesangial Cells,Intercalated Cells Type B,Leukocyte
90,0.47954217,0.22985621,0.105978385,0.08936467,0.0075892587,0.0050634206,0.022082817,0.05763834,0.0016231987,0.0012615345
91,0.7330219,0.22998014,0.013337234,0.0029970792,0.0034795578,0.0015834714,0.005699772,0.007563652,0.0008307609,0.0015064134
92,0.28626436,0.17485394,0.5179282,0.008320579,0.00049238635,0.0007080714,0.003648455,0.0041699912,0.0008862314,0.0027277903
93,0.05092812,0.07943826,0.016723925,0.0014013464,0.13903554,0.3619138,0.0021352395,0.2083259,0.00028396718,0.13981389
94,0.077484556,0.14947672,0.041291863,0.014526992,0.013479629,0.24232295,0.44189033,0.017201688,0.0014292916,0.000896012
95,0.15057856,0.0034690595,0.0013064087,0.34496608,0.32805458,0.0029650452,0.0024864562,0.1647448,0.0009610697,0.0004679047
96,0.03969204,0.0047807945,0.0033796837,0.5068968,0.005734162,0.0017866675,0.011926213,0.42489445,0.0003517262,0.00055740454
97,0.06672937,0.07311,0.08951577,0.6917331,0.024313949,0.00855306,0.01374825,0.02785792,0.0033970035,0.0010414955
98,0.97385335,0.0147715155,0.0025223673,0.005510584,0.00011650882,0.002148185,0.00038825668,0.00036574007,0.00013719367,0.0001862315
99,0.058648773,0.17045851,0.003998235,0.12909634,0.008377043,0.34936604,0.27180246,0.0036847834,0.00039768536,0.0041701123
100,0.062337253,0.12689058,0.22441185,0.071824625,0.21707079,0.22100988,0.0737162,0.0016736644,0.00051249383,0.0005526305
101,0.023043107,0.04730737,0.019334814,0.08314378,0.008776021,0.25319377,0.012031579,0.002973185,0.54807866,0.0021177267
102,0.0140541345,0.08042525,0.17707169,0.008598209,0.0053236205,0.708247,0.004196199,0.0014357789,0.0005011839,0.0001468409
103,0.19160591,0.09783071,0.0073168357,0.66688854,0.0019224946,0.010829777,0.014121078,0.005608498,0.002142939,0.0017330755
104,0.20487992,0.2172237,0.17547071,0.033004735,0.31088197,0.013977727,0.0030568507,0.040080123,0.0006654469,0.00075875386
105,0.19721262,0.1507066,0.48421562,0.07670911,0.02820166,0.010602358,0.025957396,0.0021915312,0.0013616686,0.02284139
106,0.19492483,0.23542514,0.12758563,0.019011317,0.0008046274,0.4143017,0.0010002482,0.0066815154,0.00010585332,0.00015901118
107,0.13721028,0.15536638,0.19589396,0.0033428187,0.13662425,0.0016540056,0.35224026,0.014564694,0.0025460357,0.0005573754
108,0.09479316,0.024359418,0.038539506,0.42304158,0.008596816,0.0013504886,0.005779105,0.39953095,0.0029553652,0.0010535956
109,0.5031901,0.27407646,0.008770948,0.047046535,0.11358054,0.0063768653,0.02782074,0.010920253,0.0035565593,0.004660988
110,0.24560867,0.12977976,0.5803386,0.018692745,0.0016147809,0.005010128,0.0016206073,0.015105081,0.00029091115,0.0019387255
111,0.04254703,0.06290079,0.08876289,0.052946024,0.03547056,0.00045519517,0.0870373,0.6292037,0.0005650873,0.00011137203
112,0.9641069,0.019151013,0.003631104,0.003315363,0.0032253515,0.0030773235,0.0015590916,0.0010011719,0.0005143892,0.0004182104
113,0.015035484,0.03913348,0.082302205,0.009869721,0.48143896,0.36196575,0.0029569922,0.004852206,0.00089153816,0.0015536998
114,0.008739225,0.025872398,0.045932017,0.10406534,0.0018022158,0.0011571646,0.0018322568,0.0012778242,0.8091109,0.00021069047
115,0.13644479,0.11667181,0.40919963,0.03304595,0.0076037026,0.27855688,0.0105473995,0.0064174216,0.00029226387,0.0012201092
116,0.17547743,0.31058797,0.18807985,0.14858003,0.08574575,0.022473358,0.036579363,0.020156618,0.0041563693,0.008163244
117,0.17180483,0.029116932,0.0016459925,0.122240074,0.45597583,0.0009268371,0.045836262,0.17082305,0.00011843671,0.0015117965
118,0.19393721,0.108504854,0.509889,0.009898374,0.12661834,0.014667638,0.028176202,0.0049915914,0.0028177425,0.00049910654
119,0.30343115,0.6638558,0.0054885144,0.0055918917,0.0009707042,0.0037420897,0.011032835,0.00095066865,0.00058380654,0.00435256
120,0.5557047,0.1652872,0.21727161,0.04172186,0.002259807,0.0039566117,0.0009428017,0.009078927,0.00014640774,0.0036300875
121,0.38299042,0.24307227,0.266583,0.016239844,0.013561838,0.06586649,0.0054392284,0.0032975613,0.0004148845,0.0025344987
122,0.18856072,0.12787749,0.15884744,0.005542387,0.011013535,0.49010283,0.016843576,5.769205e-05,0.00041291214,0.00074142707
123,0.08185865,0.062170748,0.21004683,0.4542014,0.043411087,0.027509553,0.024437401,0.095191374,0.0002639778,0.00090896554
124,0.048279613,0.13711073,0.057098553,0.02734955,0.044168442,0.06279889,0.58552164,0.03516524,0.00028909298,0.0022182278
125,0.36069348,0.17157306,0.0786055,0.37581035,0.0005540832,0.0022235438,0.005582957,0.001805796,0.00017839822,0.002972772
126,0.085680954,0.0033971574,0.0073976754,0.0006314301,0.895294,0.0002266305,0.0007090895,0.004170908,0.0004012966,0.0020908732
127,0.08108753,0.12538263,0.05934824,0.117029734,0.0059288233,0.5548061,0.051140096,0.0044118166,0.00035958405,0.00050540915
128,0.7164163,0.024974266,0.033487488,0.039066337,0.088983275,0.052420087,0.0072776214,0.02861371,0.0028212685,0.005939632
129,0.37959915,0.18297058,0.399882,0.008629329,0.0061606495,0.0070870453,0.007976649,0.005391967,0.0018055894,0.0004969604
130,0.31457034,0.33431938,0.21699768,0.005431029,0.10792158,0.00040001917,0.011981161,0.0028101527,0.0007038657,0.0048647234
131,0.499101,0.3488562,0.047175277,0.065404385,0.0029516614,0.008965099,0.005822514,0.015494966,0.0018827418,0.004346073
132,0.10362744,0.004126317,0.009130491,0.0066208616,0.8694325,0.0013375225,0.004150732,0.0005920627,9.259605e-05,0.000889335
133,0.2888909,0.18686329,0.23593992,0.26256722,0.0025649592,0.005337994,0.009099879,0.0041846093,0.0033769214,0.0011743966
134,0.27523977,0.18876189,0.02432192,0.0068819053,0.2891267,0.09868114,0.01121091,0.05495188,0.0010184934,0.04980532
135,0.054729566,0.08174677,0.011107884,0.004972386,0.35867387,0.024806837,0.29347792,0.16987875,0.00029644335,0.00030960242
136,0.19217673,0.20224376,0.4356131,0.025073618,0.0156829,0.075009584,0.009695176,0.041298524,0.0008449713,0.0023616059
137,0.043886784,0.095746934,0.215532,0.19748811,0.049787857,0.22235996,0.17002805,0.0048706774,0.00025216505,4.7446632e-05
138,0.5530717,0.4146284,0.010395912,0.005802293,0.0008278245,0.0015908707,0.007965935,0.00038000775,0.0032076952,0.0021292828
139,0.44735107,0.30869013,0.021794206,0.100863285,0.03487428,0.010204144,0.062235683,0.009892299,0.0021049513,0.001990002
140,0.12249573,0.12111235,0.006255637,0.0037726134,0.028110161,0.0034074772,0.0019806377,0.71071506,0.0012927019,0.0008574976
141,0.38736704,0.08774311,0.5086373,0.00446972,0.0046963026,0.0036299473,0.002151192,0.0001710647,0.0007353636,0.0003989538
142,0.46208608,0.24329892,0.11516864,0.035591956,0.026875654,0.07602774,0.0043218234,0.025329452,0.0022567015,0.009043122
